PockelVoltage,Pockel,FidelityPower,BeamDiamter(um),FidelityPowerPerArea
0,0,0,1.2932,0
0.018939394,1,0.1,1.2932,0.07617263
0.037878788,2,0.1,1.2932,0.07617263
0.056818182,3,0.2,1.2932,0.15234526
0.075757576,4,0.4,1.2932,0.30469052
0.09469697,5,0.6,1.2932,0.457035781
0.113636364,6,0.9,1.2932,0.685553671
0.132575758,7,1.3,1.2932,0.990244192
0.151515152,8,1.7,1.2932,1.294934712
0.170454545,9,2.2,1.2932,1.675797863
0.189393939,10,2.8,1.2932,2.132833643
0.208333333,11,3.4,1.2932,2.589869424
0.227272727,12,4.1,1.2932,3.123077835
0.246212121,13,4.9,1.2932,3.732458876
0.265151515,14,5.5,1.2932,4.189494657
0.284090909,15,6.4,1.2932,4.875048328
0.303030303,16,7.3,1.2932,5.560601999
0.321969697,17,8.2,1.2932,6.24615567
0.340909091,18,9.3,1.2932,7.084054602
0.359848485,19,10.4,1.2932,7.921953533
0.378787879,20,11.5,1.2932,8.759852464
0.397727273,21,12.7,1.2932,9.673924026
0.416666667,22,13.9,1.2932,10.58799559
0.435606061,23,14.9,1.2932,11.34972189
0.454545455,24,16.2,1.2932,12.33996608
0.473484848,25,17.6,1.2932,13.4063829
0.492424242,26,18.9,1.2932,14.39662709
0.511363636,27,20.3,1.2932,15.46304392
0.53030303,28,21.8,1.2932,16.60563337
0.549242424,29,23.3,1.2932,17.74822282
0.568181818,30,24.8,1.2932,18.89081227
0.587121212,31,26.1,1.2932,19.88105646
0.606060606,32,27.6,1.2932,21.02364591
0.625,33,28.8,1.2932,21.93771748
0.643939394,34,30.4,1.2932,23.15647956
0.662878788,35,32,1.2932,24.37524164
0.681818182,36,33.5,1.2932,25.51783109
0.700757576,37,35.2,1.2932,26.8127658
0.71969697,38,36.8,1.2932,28.03152789
0.738636364,39,38.4,1.2932,29.25028997
0.757575758,40,40.2,1.2932,30.62139731
0.776515152,41,41.7,1.2932,31.76398676
0.795454545,42,42.8,1.2932,32.60188569
0.814393939,43,44.5,1.2932,33.89682041
0.833333333,44,46,1.2932,35.03940986
0.852272727,45,47.6,1.2932,36.25817194
0.871212121,46,49.2,1.2932,37.47693402
0.890151515,47,50.9,1.2932,38.77186873
0.909090909,48,52.5,1.2932,39.99063082
0.928030303,49,54,1.2932,41.13322027
0.946969697,50,55.6,1.2932,42.35198235
0.965909091,51,56.7,1.2932,43.18988128
0.984848485,52,58.3,1.2932,44.40864336
1.003787879,53,59.6,1.2932,45.39888755
1.022727273,54,61.2,1.2932,46.61764964
1.041666667,55,63,1.2932,47.98875698
1.060606061,56,63.8,1.2932,48.59813802
1.079545455,57,65.2,1.2932,49.66455484
1.098484848,58,66.5,1.2932,50.65479903
1.117424242,59,67.7,1.2932,51.56887059
1.136363636,60,68.6,1.2932,52.25442427
1.15530303,61,69.8,1.2932,53.16849583
1.174242424,62,71,1.2932,54.08256739
1.193181818,63,72.1,1.2932,54.92046632
1.212121212,64,73.2,1.2932,55.75836525
1.231060606,65,74.8,1.2932,56.97712733
1.25,66,75.4,1.2932,57.43416311
1.268939394,67,76.6,1.2932,58.34823468
1.287878788,68,77.8,1.2932,59.26230624
1.306818182,69,78.3,1.2932,59.64316939
1.325757576,70,79,1.2932,60.1763778
1.34469697,71,79.9,1.2932,60.86193147
1.363636364,72,81,1.2932,61.6998304
1.382575758,73,81.5,1.2932,62.08069355
1.401515152,74,82.2,1.2932,62.61390196
1.420454545,75,83,1.2932,63.223283
1.439393939,76,83.3,1.2932,63.45180089
1.458333333,77,84,1.2932,63.9850093
1.477272727,78,84.6,1.2932,64.44204509
1.496212121,79,84.5,1.2932,64.36587246
1.515151515,80,85,1.2932,64.74673561
